,N,trial_length
../DATA/processed/014post_trial32.csv,4,5.488
../DATA/processed/006post_trial19.csv,0,5.498
../DATA/processed/005post_trial8.csv,19,5.488
../DATA/processed/004pre_trial46.csv,10,5.5
../DATA/processed/005post_trial26.csv,8,5.49
../DATA/processed/022post_trial33.csv,11,5.49
../DATA/processed/025post_trial2.csv,1,5.5
../DATA/processed/002pre_trial6.csv,9,5.494
../DATA/processed/016pre_trial32.csv,3,5.488
../DATA/processed/017pre_trial8.csv,3,5.496
../DATA/processed/006post_trial55.csv,7,5.496
../DATA/processed/026post_trial0.csv,0,5.498
../DATA/processed/026post_trial9.csv,8,5.488
../DATA/processed/005pre_trial51.csv,10,5.49
../DATA/processed/026post_trial22.csv,3,5.496
../DATA/processed/019pre_trial55.csv,5,5.498
../DATA/processed/016post_trial46.csv,1,5.49
../DATA/processed/005pre_trial57.csv,12,5.486
../DATA/processed/013pre_trial25.csv,4,5.49
../DATA/processed/013pre_trial1.csv,4,5.5
../DATA/processed/014post_trial35.csv,2,5.486
../DATA/processed/012post_trial24.csv,8,5.498
../DATA/processed/009post_trial4.csv,3,5.498
../DATA/processed/026post_trial1.csv,4,5.488
../DATA/processed/023pre_trial16.csv,10,5.494
../DATA/processed/019post_trial5.csv,6,5.498
../DATA/processed/005post_trial44.csv,15,5.49
../DATA/processed/016post_trial36.csv,4,5.492
../DATA/processed/005pre_trial32.csv,12,5.498
../DATA/processed/026pre_trial51.csv,10,5.486
../DATA/processed/014post_trial45.csv,8,5.492
../DATA/processed/004post_trial42.csv,4,5.488
../DATA/processed/025pre_trial34.csv,22,5.498
../DATA/processed/017pre_trial42.csv,7,5.494
../DATA/processed/002post_trial54.csv,5,5.498
../DATA/processed/005pre_trial15.csv,14,5.498
../DATA/processed/019pre_trial13.csv,7,5.5
../DATA/processed/021post_trial7.csv,5,5.488
../DATA/processed/025post_trial23.csv,9,5.5
../DATA/processed/025pre_trial37.csv,15,5.5
../DATA/processed/025pre_trial11.csv,15,5.498
../DATA/processed/020pre_trial8.csv,13,5.496
../DATA/processed/009pre_trial48.csv,11,5.498
../DATA/processed/025pre_trial54.csv,13,5.492
../DATA/processed/016post_trial48.csv,2,5.494
../DATA/processed/007pre_trial16.csv,5,5.492
../DATA/processed/025pre_trial36.csv,19,5.49
../DATA/processed/022pre_trial54.csv,18,5.498
../DATA/processed/007pre_trial46.csv,14,5.488
../DATA/processed/008pre_trial31.csv,9,5.496
../DATA/processed/021post_trial16.csv,9,5.5
../DATA/processed/008post_trial36.csv,12,5.5
../DATA/processed/024pre_trial43.csv,20,5.494
../DATA/processed/026post_trial28.csv,6,5.494
../DATA/processed/015pre_trial25.csv,7,5.5
../DATA/processed/021pre_trial56.csv,5,5.494
../DATA/processed/003post_trial20.csv,1,5.49
../DATA/processed/016pre_trial17.csv,2,5.494
../DATA/processed/003pre_trial13.csv,4,5.486
../DATA/processed/014pre_trial53.csv,3,5.496
../DATA/processed/001pre_trial56.csv,7,5.498
../DATA/processed/004pre_trial16.csv,6,5.488
../DATA/processed/007post_trial7.csv,8,5.498
../DATA/processed/006post_trial35.csv,8,5.5
../DATA/processed/001pre_trial46.csv,5,5.5
../DATA/processed/012post_trial59.csv,10,5.488
../DATA/processed/015post_trial19.csv,2,5.49
../DATA/processed/020pre_trial27.csv,11,5.494
../DATA/processed/025post_trial46.csv,6,5.494
../DATA/processed/009post_trial44.csv,11,5.496
../DATA/processed/002post_trial7.csv,6,5.5
../DATA/processed/002post_trial58.csv,5,5.498
../DATA/processed/013pre_trial18.csv,4,5.5
../DATA/processed/015pre_trial32.csv,2,5.5
../DATA/processed/013post_trial5.csv,4,5.49
../DATA/processed/002pre_trial48.csv,6,5.498
../DATA/processed/013post_trial51.csv,4,5.498
../DATA/processed/017pre_trial17.csv,2,5.5
../DATA/processed/003pre_trial22.csv,10,5.498
../DATA/processed/023post_trial0.csv,7,5.49
../DATA/processed/021pre_trial12.csv,7,5.498
../DATA/processed/026pre_trial16.csv,3,5.49
../DATA/processed/019pre_trial46.csv,13,5.49
../DATA/processed/020pre_trial55.csv,12,5.502
../DATA/processed/019pre_trial40.csv,6,5.492
../DATA/processed/023post_trial12.csv,13,5.49
../DATA/processed/005pre_trial48.csv,7,5.5
../DATA/processed/008pre_trial51.csv,13,5.5
../DATA/processed/009post_trial45.csv,3,5.49
../DATA/processed/015pre_trial10.csv,10,5.5
../DATA/processed/015pre_trial59.csv,15,5.488
../DATA/processed/026pre_trial34.csv,9,5.498
../DATA/processed/025post_trial9.csv,7,5.494
../DATA/processed/019pre_trial4.csv,4,5.5
../DATA/processed/015post_trial50.csv,8,5.498
../DATA/processed/023pre_trial42.csv,7,5.492
../DATA/processed/008post_trial3.csv,4,5.49
../DATA/processed/015pre_trial1.csv,2,5.494
../DATA/processed/005post_trial59.csv,19,5.498
../DATA/processed/021pre_trial28.csv,5,5.492
../DATA/processed/020post_trial10.csv,6,5.5
../DATA/processed/009post_trial35.csv,6,5.494
../DATA/processed/007pre_trial49.csv,7,5.498
../DATA/processed/006pre_trial42.csv,5,5.492
../DATA/processed/013pre_trial20.csv,2,5.496
../DATA/processed/017post_trial14.csv,4,5.49
../DATA/processed/005post_trial11.csv,14,5.492
../DATA/processed/009pre_trial20.csv,9,5.496
../DATA/processed/016post_trial18.csv,4,5.494
../DATA/processed/009pre_trial59.csv,17,5.494
../DATA/processed/003pre_trial54.csv,3,5.492
../DATA/processed/005pre_trial38.csv,17,5.5
../DATA/processed/015post_trial32.csv,7,5.494
../DATA/processed/023post_trial44.csv,7,5.494
../DATA/processed/004post_trial48.csv,8,5.488
../DATA/processed/023post_trial31.csv,7,5.498
../DATA/processed/023post_trial53.csv,7,5.492
../DATA/processed/025pre_trial19.csv,8,5.498
../DATA/processed/008post_trial44.csv,8,5.494
../DATA/processed/017pre_trial52.csv,3,5.494
../DATA/processed/005post_trial58.csv,8,5.498
../DATA/processed/021post_trial39.csv,6,5.494
../DATA/processed/006pre_trial22.csv,7,5.49
../DATA/processed/015post_trial7.csv,1,5.498
../DATA/processed/025post_trial34.csv,12,5.492
../DATA/processed/014pre_trial1.csv,6,5.49
../DATA/processed/017pre_trial27.csv,4,5.492
../DATA/processed/003post_trial15.csv,2,5.496
../DATA/processed/025pre_trial9.csv,7,5.494
../DATA/processed/022pre_trial57.csv,15,5.49
../DATA/processed/015pre_trial20.csv,4,5.488
../DATA/processed/001pre_trial2.csv,12,5.496
../DATA/processed/004post_trial10.csv,4,5.5
../DATA/processed/008pre_trial41.csv,14,5.502
../DATA/processed/019post_trial34.csv,10,5.488
../DATA/processed/003pre_trial39.csv,4,5.488
../DATA/processed/023pre_trial57.csv,12,5.492
../DATA/processed/026pre_trial42.csv,7,5.492
../DATA/processed/023post_trial43.csv,7,5.498
../DATA/processed/013pre_trial50.csv,7,5.5
../DATA/processed/015post_trial14.csv,8,5.502
../DATA/processed/006post_trial6.csv,5,5.492
../DATA/processed/026pre_trial49.csv,4,5.492
../DATA/processed/019post_trial25.csv,8,5.494
../DATA/processed/007pre_trial58.csv,9,5.494
../DATA/processed/014post_trial38.csv,5,5.5
../DATA/processed/023post_trial6.csv,7,5.498
../DATA/processed/025post_trial5.csv,9,5.488
../DATA/processed/014post_trial0.csv,4,5.496
../DATA/processed/013post_trial50.csv,2,5.5
../DATA/processed/016post_trial24.csv,2,5.494
../DATA/processed/009post_trial16.csv,5,5.496
../DATA/processed/025pre_trial41.csv,18,5.496
../DATA/processed/001pre_trial43.csv,14,5.498
../DATA/processed/021post_trial33.csv,10,5.49
../DATA/processed/023post_trial18.csv,9,5.498
../DATA/processed/021pre_trial16.csv,7,5.5
../DATA/processed/015pre_trial24.csv,2,5.496
../DATA/processed/013pre_trial43.csv,6,5.5
../DATA/processed/017pre_trial16.csv,5,5.49
../DATA/processed/024pre_trial30.csv,20,5.486
../DATA/processed/005post_trial46.csv,12,5.5
../DATA/processed/003post_trial4.csv,3,5.49
../DATA/processed/004post_trial7.csv,2,5.494
../DATA/processed/006post_trial23.csv,0,5.496
../DATA/processed/015post_trial10.csv,6,5.498
../DATA/processed/013post_trial26.csv,2,5.492
../DATA/processed/015post_trial55.csv,12,5.494
../DATA/processed/005post_trial13.csv,7,5.492
../DATA/processed/008post_trial16.csv,3,5.496
../DATA/processed/025post_trial19.csv,16,5.494
../DATA/processed/016post_trial35.csv,3,5.494
../DATA/processed/015post_trial27.csv,9,5.5
../DATA/processed/023pre_trial13.csv,9,5.5
../DATA/processed/004pre_trial52.csv,15,5.49
../DATA/processed/003pre_trial9.csv,5,5.5
../DATA/processed/009post_trial49.csv,10,5.5
../DATA/processed/020pre_trial48.csv,8,5.494
../DATA/processed/005post_trial50.csv,19,5.494
../DATA/processed/014post_trial34.csv,6,5.5
../DATA/processed/003pre_trial20.csv,2,5.488
../DATA/processed/013post_trial36.csv,2,5.488
../DATA/processed/013pre_trial10.csv,5,5.498
../DATA/processed/014post_trial41.csv,3,5.494
../DATA/processed/022pre_trial21.csv,9,5.488
../DATA/processed/013post_trial9.csv,2,5.492
../DATA/processed/026post_trial26.csv,7,5.5
../DATA/processed/022pre_trial0.csv,3,5.5
../DATA/processed/020pre_trial37.csv,13,5.494
../DATA/processed/014post_trial13.csv,5,5.49
../DATA/processed/014pre_trial12.csv,8,5.49
../DATA/processed/022post_trial43.csv,9,5.5
../DATA/processed/002pre_trial43.csv,7,5.494
../DATA/processed/026post_trial58.csv,4,5.5
../DATA/processed/008pre_trial1.csv,6,5.496
../DATA/processed/002pre_trial31.csv,10,5.488
../DATA/processed/006post_trial50.csv,4,5.494
../DATA/processed/002post_trial28.csv,9,5.492
../DATA/processed/003pre_trial51.csv,4,5.494
